strain_name	sub_lineage	n_spdis	n_missing_genes	n_missing_rd	mean_depth	covered_bases_percent	mean_mapq	mean_baseq	gc_content	country	collection_date	host	bioproject	biosample	platform
ERR4407546	L4.13.1	797	6	14	26.39	0.991106	59.3	255	0.655				PRJEB39715	SAMEA7129318	ILLUMINA
ERR4814544	L4.13.1	845	27	22	60.1679	0.99166	59.4	255	0.646602				PRJEB41201	SAMEA7547903	ILLUMINA
ERR4815345	L4.13.1	901	31	29	140.649	0.9943259999999999	59.3	255	0.656466				PRJEB41201	SAMEA7548705	ILLUMINA
ERR4815396	L4.13.1	928	28	25	167.127	0.994801	59	255	0.655				PRJEB41201	SAMEA7548756	ILLUMINA
ERR4819109	L4.13.1	856	16	21	72.3446	0.995705	59.3	255	0.655				PRJEB41201	SAMEA7552474	ILLUMINA
ERR4819365	L4.13.1	880	29	29	94.8084	0.993953	59.3	255	0.655				PRJEB41201	SAMEA7552730	ILLUMINA
ERR4828844	L4.13.1	842	17	22	82.8548	0.9941289999999999	59.4	255	0.651998				PRJEB41242	SAMEA7561282	ILLUMINA
ERR4828953	L4.13.1	850	16	17	50.6783	0.995474	59.1	255	0.653753				PRJEB41242	SAMEA7561391	ILLUMINA
ERR4829273	L4.13.1	845	22	27	74.9578	0.9925499999999999	59.3	255	0.648898				PRJEB41242	SAMEA7561711	ILLUMINA
ERR4829347	L4.13.1	853	22	26	116.255	0.992594	59.3	255	0.648761				PRJEB41242	SAMEA7561785	ILLUMINA
ERR4829697	L4.13.1	867	17	24	113.599	0.995636	59.2	255	0.652989				PRJEB41242	SAMEA7562136	ILLUMINA
ERR4829761	L4.13.1	867	17	25	102.144	0.9958020000000001	59.3	255	0.65147				PRJEB41242	SAMEA7562200	ILLUMINA
ERR4831168	L4.13.1	862	16	23	138.728	0.996421	59.4	255	0.645643				PRJEB41274	SAMEA7563609	ILLUMINA
ERR9891985	L4.13.1	834	5	20	71.8253	0.9926309999999999	59.2	255	0.639357	France	2017-12-05		PRJEB52390	SAMEA14269050	ILLUMINA
SRR16370406	L4.13.1	859	6	21	133.092	0.995832	59.4	255	0.651121	missing	missing	missing	PRJNA771909	SAMN20693260	ILLUMINA
SRR18910996	L4.13.1	869	10	19	113.991	0.9916119999999999	59.5	255	0.653019	USA:New York	2019-07-14	Homo sapiens	PRJNA650381	SAMN27761665	ILLUMINA
SRR19304124	L4.13.1	874	22	19	148.79	0.993038	59.3	255	0.648625	Italy: Rome	2018-06-25	Homo sapiens	PRJNA834606	SAMN28538207	ILLUMINA
SRR21686598	L4.13.1	895	19	20	103.863	0.9915970000000001	59.5	255	0.654478	USA	2018	Homo sapiens	PRJNA766641	SAMN30990546	ILLUMINA
SRR21689552	L4.13.1	874	15	21	90.7901	0.996458	59	255	0.655	Netherlands	2019	Homo sapiens	PRJNA882748	SAMN30949107	ILLUMINA
SRR21690138	L4.13.1	872	29	27	68.8079	0.993996	59	255	0.655	Netherlands	2019	Homo sapiens	PRJNA882748	SAMN30949043	ILLUMINA
SRR21690799	L4.13.1	862	14	19	69.1487	0.996735	58.9	255	0.655	Netherlands	2017	Homo sapiens	PRJNA882748	SAMN30950081	ILLUMINA
SRR21732354	L4.13.1	871	2	19	124.953	0.997884	59.3	255	0.647574	Australia	2017-01-24	Homo sapiens	PRJNA857537	SAMN31030483	ILLUMINA
SRR28409333	L4.13.1	890	4	23	91.6788	0.9952460000000001	59.4	255	0.657609	USA:NY	2021	Homo sapiens	PRJNA766641	SAMN40566210	ILLUMINA
SRR28646118	L4.13.1	871	16	21	76.5675	0.996347	57.6	255	0.655	Romania	2021	Homo sapiens	PRJNA1074784	SAMN40946993	ILLUMINA
SRR28858582	L4.13.1	871	15	28	112.843	0.996549	59.3	255	0.655	USA:NY	2022	Homo sapiens	PRJNA766641	SAMN41146708	ILLUMINA
SRR28860094	L4.13.1	817	19	23	43.2703	0.992526	59.4	255	0.655	USA:NY	2023	Homo sapiens	PRJNA766641	SAMN41148698	ILLUMINA
SRR29052642	L4.13.1	859	6	20	133.091	0.995859	59.4	255	0.655	USA	2015	Homo sapiens	PRJNA1109295	SAMN41417862	ILLUMINA
SRR30984353	L4.13.1	864	1	24	131.741	0.998393	59.1	255	0.655	USA:AR	2024-06-11	Homo sapiens	PRJNA1080563	SAMN44278774	ILLUMINA
SRR31008949	L4.13.1	848	4	21	77.3594	0.994947	59.3	255	0.655	Italy	2018	Homo sapiens	PRJNA1173107	SAMN44289565	ILLUMINA
SRR33840371	L4.13.1	880	2	18	85.9347	0.997427	59.4	255	0.655	USA	2021	Homo sapiens	PRJNA1237251	SAMN48910826	ILLUMINA
SRR33843028	L4.13.1	851	2	19	51.4904	0.996718	59.3	255	0.655	USA	2021	Homo sapiens	PRJNA1237251	SAMN48914930	ILLUMINA
SRR33857524	L4.13.1	868	2	21	50.7715	0.996624	59.3	255	0.655	USA	2021	Homo sapiens	PRJNA1237251	SAMN48930496	ILLUMINA
SRR33912642	L4.13.1	867	18	23	72.3357	0.994567	59.3	255	0.655	USA	2022	Homo sapiens	PRJNA1237251	SAMN48983392	ILLUMINA
SRR33938718	L4.13.1	810	18	18	37.3758	0.99217	59.3	255	0.655	USA	2022	Homo sapiens	PRJNA1237251	SAMN49006350	ILLUMINA
SRR34003993	L4.13.1	847	16	22	76.7847	0.995672	59.3	255	0.655	USA	2019	Homo sapiens	PRJNA1237251	SAMN49129698	ILLUMINA
SRR3675213	L4.13.1	759	17	15	20.6893	0.990751	59.3	255	0.655	United Kingdom: Oxford	2015-01-01	Homo sapiens	PRJNA302362	SAMN05276307	ILLUMINA
SRR6831923	L4.13.1	819	20	17	60.6284	0.995461	59.1	255	0.655	missing	2010/2014	Homo sapiens	PRJNA428596	SAMN08708689	ILLUMINA
SRR7131174	L4.13.1	846	22	25	74.8931	0.9925109999999999	59.3	255	0.649326	Italy	2016/2017	Homo sapiens	PRJNA438921	SAMN09090543	ILLUMINA
ERR046997	L4.13.2	805	5	16	127.161	0.9968680000000001	59.2	255	0.647786	United Kingdom: Midlands	2006	Homo sapiens	PRJEB2221	SAMEA1019013	ILLUMINA
ERR072039	L4.13.2	806	5	17	106.355	0.996092	59.2	255	0.649694	United Kingdom: Midlands	2006	Homo sapiens	PRJEB2221	SAMEA1019291	ILLUMINA
ERR1023298	L4.13.2	890	5	22	178.448	0.998266	59.4	255	0.655825				PRJEB5280	SAMEA3374738	ILLUMINA
ERR1023334	L4.13.2	886	1	23	166.597	0.999213	59.4	255	0.656171				PRJEB5280	SAMEA3374774	ILLUMINA
ERR1034655	L4.13.2	838	5	19	79.5314	0.9959220000000001	59.4	255	0.652555				PRJEB10385	SAMEA3558188	ILLUMINA
ERR1034661	L4.13.2	805	6	18	40.4865	0.992313	59.4	255	0.652487				PRJEB10385	SAMEA3558194	ILLUMINA
ERR11043057	L4.13.2	906	1	21	93.2098	0.999021	59.3	255	0.650842				PRJEB9680	SAMEA112802776	ILLUMINA
ERR11043060	L4.13.2	880	1	19	92.8815	0.99905	59.3	255	0.650675				PRJEB9680	SAMEA112802779	ILLUMINA
ERR11043114	L4.13.2	867	2	21	127.399	0.998216	59.4	255	0.648596				PRJEB9680	SAMEA112802831	ILLUMINA
ERR11043115	L4.13.2	877	0	0									PRJEB9680	SAMEA112802832	ILLUMINA
ERR11043177	L4.13.2	852	5	20	100.809	0.996566	59.3	255	0.647562				PRJEB9680	SAMEA112802890	ILLUMINA
ERR11043607	L4.13.2	871	6	24	74.9408	0.996135	59.3	255	0.650754				PRJEB9680	SAMEA112803310	ILLUMINA
ERR11043647	L4.13.2	893	1	20	151.095	0.999087	59.3	255	0.651041				PRJEB9680	SAMEA112803348	ILLUMINA
ERR11043655	L4.13.2	851	5	18	111.757	0.996581	59.4	255	0.648609				PRJEB9680	SAMEA112803356	ILLUMINA
ERR11043766	L4.13.2	868	7	20	143.556	0.996573	59.3	255	0.64734				PRJEB9680	SAMEA112803459	ILLUMINA
ERR11043794	L4.13.2	904	3	20	121.287	0.9987	59.3	255	0.649839				PRJEB9680	SAMEA112803486	ILLUMINA
ERR11043908	L4.13.2	867	4	20	141.032	0.997626	59.4	255	0.648252				PRJEB9680	SAMEA112803594	ILLUMINA
ERR11043910	L4.13.2	868	2	21	142.829	0.998072	59.4	255	0.647551				PRJEB9680	SAMEA112803596	ILLUMINA
ERR11043911	L4.13.2	865	2	21	134.756	0.997744	59.4	255	0.647464				PRJEB9680	SAMEA112803597	ILLUMINA
ERR11044050	L4.13.2	897	1	19	138.657	0.999089	59.4	255	0.650626				PRJEB9680	SAMEA112803734	ILLUMINA
ERR11044068	L4.13.2	902	15	24	163.756	0.9969979999999999	59.3	255	0.648783				PRJEB9680	SAMEA112803752	ILLUMINA
ERR11044122	L4.13.2	914	1	23	110.208	0.998293	59.4	255	0.650951				PRJEB9680	SAMEA112803806	ILLUMINA
ERR11044225	L4.13.2	871	1	22	148.402	0.998375	59.4	255	0.647229				PRJEB9680	SAMEA112803909	ILLUMINA
ERR11044330	L4.13.2	878	1	21	124.841	0.9988389999999999	59.4	255	0.647412				PRJEB9680	SAMEA112804014	ILLUMINA
ERR11044385	L4.13.2	869	1	20	118.475	0.998628	59.4	255	0.647206				PRJEB9680	SAMEA112804069	ILLUMINA
ERR11044386	L4.13.2	876	1	24	138.972	0.998908	59.4	255	0.646837				PRJEB9680	SAMEA112804070	ILLUMINA
ERR11044401	L4.13.2	882	1	20	140.653	0.9989870000000001	59.4	255	0.646783				PRJEB9680	SAMEA112804085	ILLUMINA
ERR11044481	L4.13.2	899	1	21	137.176	0.9984869999999999	59.4	255	0.645805				PRJEB9680	SAMEA112804165	ILLUMINA
ERR11044528	L4.13.2	898	1	22	145.561	0.998823	59.4	255	0.645193				PRJEB9680	SAMEA112804212	ILLUMINA
ERR11044592	L4.13.2	899	1	19	110.621	0.9991119999999999	59.4	255	0.646233				PRJEB9680	SAMEA112804274	ILLUMINA
ERR11044620	L4.13.2	837	1	21	55.2714	0.997965	59.4	255	0.648349				PRJEB9680	SAMEA112804300	ILLUMINA
ERR11044756	L4.13.2	891	3	22	142.563	0.998662	59.3	255	0.646472				PRJEB9680	SAMEA112799029	ILLUMINA
ERR11044956	L4.13.2	901	1	21	136.666	0.998758	59.3	255	0.642056				PRJEB9680	SAMEA112799205	ILLUMINA
ERR11044962	L4.13.2	869	1	21	69.1915	0.997991	59.2	255	0.643193				PRJEB9680	SAMEA112799210	ILLUMINA
ERR11049087	L4.13.2	869	2	23	131.979	0.9983329999999999	59.4	255	0.646661				PRJEB9680	SAMEA112799275	ILLUMINA
ERR11049497	L4.13.2	850	4	19	90.7531	0.996375	59.5	255	0.646666				PRJEB9680	SAMEA112799644	ILLUMINA
ERR11049552	L4.13.2	905	1	24	181.247	0.9991509999999999	59.4	255	0.645145				PRJEB9680	SAMEA112799692	ILLUMINA
ERR11049626	L4.13.2	883	2	29	185.108	0.9985299999999999	59.4	255	0.647393				PRJEB9680	SAMEA112799760	ILLUMINA
ERR11049714	L4.13.2	901	3	22	155.822	0.998566	59.4	255	0.647301				PRJEB9680	SAMEA112799838	ILLUMINA
ERR11049724	L4.13.2	877	15	23	166.278	0.996784	59.3	255	0.645178				PRJEB9680	SAMEA112799847	ILLUMINA
ERR11049737	L4.13.2	877	1	22	166.956	0.998819	59.4	255	0.644704				PRJEB9680	SAMEA112799857	ILLUMINA
ERR11049857	L4.13.2	859	8	21	168.382	0.99747	59.4	255	0.644362				PRJEB9680	SAMEA112799957	ILLUMINA
ERR11050069	L4.13.2	881	1	22	144.61	0.999027	59.4	255	0.644301				PRJEB9680	SAMEA112800159	ILLUMINA
ERR11050086	L4.13.2	836	10	16	97.8755	0.9946269999999999	59.4	255	0.642737				PRJEB9680	SAMEA112800176	ILLUMINA
ERR11050283	L4.13.2	876	1	21	167.43	0.998802	59.4	255	0.646123				PRJEB9680	SAMEA112800320	ILLUMINA
ERR11050810	L4.13.2	879	2	20	127.37	0.998202	59.4	255	0.644387				PRJEB9680	SAMEA112800811	ILLUMINA
ERR11067219	L4.13.2	871	1	22	115.516	0.9988809999999999	59.3	255	0.643108				PRJEB9680	SAMEA112801074	ILLUMINA
ERR11067411	L4.13.2	932	1	21	98.2442	0.999025	59.3	255	0.645217				PRJEB9680	SAMEA112801253	ILLUMINA
ERR11067434	L4.13.2	883	1	21	113.7	0.999069	59.2	255	0.64316				PRJEB9680	SAMEA112801272	ILLUMINA
ERR11067520	L4.13.2	888	1	21	125.132	0.9990340000000001	59.3	255	0.644025				PRJEB9680	SAMEA112801353	ILLUMINA
ERR11067530	L4.13.2	882	1	22	120.084	0.999037	59.2	255	0.643558				PRJEB9680	SAMEA112807007	ILLUMINA
ERR11067727	L4.13.2	866	1	23	107.641	0.998764	59.3	255	0.644945				PRJEB9680	SAMEA112801530	ILLUMINA
ERR11067810	L4.13.2	866	1	23	105.217	0.9986809999999999	59.3	255	0.646449				PRJEB9680	SAMEA112801613	ILLUMINA
ERR11067830	L4.13.2	883	0	0									PRJEB9680	SAMEA112801633	ILLUMINA
ERR11068047	L4.13.2	891	2	21	155.087	0.998388	59.1	255	0.643395				PRJEB9680	SAMEA112801849	ILLUMINA
ERR11068203	L4.13.2	868	1	21	115.58	0.999098	59.3	255	0.644989				PRJEB9680	SAMEA112802003	ILLUMINA
ERR11068570	L4.13.2	896	15	27	81.0675	0.9954430000000001	58.8	255	0.651321				PRJEB9680	SAMEA112802358	ILLUMINA
ERR11068646	L4.13.2	874	1	21	139.182	0.9990600000000001	59.3	255	0.646028				PRJEB9680	SAMEA112802432	ILLUMINA
ERR11068759	L4.13.2	874	1	22	94.2952	0.9986750000000001	59.3	255	0.64568				PRJEB9680	SAMEA112802542	ILLUMINA
ERR11068773	L4.13.2	794	23	21	90.902	0.9913150000000001	59.1	255	0.622316				PRJEB9680	SAMEA112802554	ILLUMINA
ERR11068935	L4.13.2	872	1	23	126.365	0.9987	59.4	255	0.647877				PRJEB9680	SAMEA112804458	ILLUMINA
ERR11080999	L4.13.2	880	1	19	115.384	0.999118	59.4	255	0.649982				PRJEB9680	SAMEA112804827	ILLUMINA
ERR11081333	L4.13.2	877	2	21	128.122	0.998268	59.4	255	0.650189				PRJEB9680	SAMEA112805143	ILLUMINA
ERR11081496	L4.13.2	877	1	18	108.309	0.998941	59.3	255	0.647418				PRJEB9680	SAMEA112805300	ILLUMINA
ERR11081499	L4.13.2	898	1	22	182.21	0.99911	59.2	255	0.646647				PRJEB9680	SAMEA112805303	ILLUMINA
ERR11082010	L4.13.2	859	1	22	131.265	0.998197	59.4	255	0.645904				PRJEB9680	SAMEA112805728	ILLUMINA
ERR11082143	L4.13.2	905	1	22	142.34	0.999288	59.3	255	0.65047				PRJEB9680	SAMEA112805860	ILLUMINA
ERR11082290	L4.13.2	843	5	19	67.4476	0.995265	59.4	255	0.649546				PRJEB9680	SAMEA112805999	ILLUMINA
ERR11082732	L4.13.2	865	1	21	82.2232	0.999066	59.4	255	0.656451				PRJEB9680	SAMEA112806374	ILLUMINA
ERR11082879	L4.13.2	895	1	20	159.238	0.9991169999999999	59.4	255	0.647771				PRJEB9680	SAMEA112806514	ILLUMINA
ERR11082948	L4.13.2	906	3	22	189.871	0.9986820000000001	59.3	255	0.648722				PRJEB9680	SAMEA112806582	ILLUMINA
ERR11083139	L4.13.2	880	2	21	129.804	0.998336	59.4	255	0.648422				PRJEB9680	SAMEA112806767	ILLUMINA
ERR11244305	L4.13.2	857	1	17	67.2963	0.999051	58.9	255	0.655	Georgia	2014-10-07		PRJEB50582	SAMEA12852447	ILLUMINA
ERR11244357	L4.13.2	863	1	20	52.7088	0.999056	58.9	255	0.655	Georgia	2014-02-06		PRJEB50582	SAMEA12852557	ILLUMINA
ERR11246140	L4.13.2	844	1	18	52.891	0.999045	58.9	255	0.655	Georgia	2015-11-30		PRJEB50582	SAMEA12855166	ILLUMINA
ERR11811369	L4.13.2	908	15	27	127.535	0.9958480000000001	59.2	255	0.653259	Georgia	2018		PRJEB64897	SAMEA114245802	ILLUMINA
ERR11811388	L4.13.2	790	18	22	31.3397	0.989294	56.1	255	0.617872	Georgia	2018		PRJEB64897	SAMEA114245821	ILLUMINA
ERR13267597	L4.13.2	875	1	19	177.522	0.99846	59.4	255	0.649906	Germany	2020		PRJEB76547	SAMEA115743792	ILLUMINA
ERR13272907	L4.13.2	853	15	23	147.185	0.993186	59.5	255	0.650198	Germany	2020		PRJEB76547	SAMEA115744023	ILLUMINA
ERR13273053	L4.13.2	843	5	19	67.4475	0.9952599999999999	59.4	255	0.649547	Germany	2020		PRJEB76547	SAMEA115744162	ILLUMINA
ERR13283989	L4.13.2	904	3	20	121.285	0.998696	59.3	255	0.649848	Germany	2020		PRJEB76547	SAMEA115745202	ILLUMINA
ERR13291785	L4.13.2	876	3	23	121.026	0.994804	59.4	255	0.653461	USA	2020		PRJEB76547	SAMEA115750912	ILLUMINA
ERR13292200	L4.13.2	818	4	17	37.3626	0.991826	59.4	255	0.654649	USA	2020		PRJEB76547	SAMEA115751319	ILLUMINA
ERR13430442	L4.13.2	893	1	18	90.9194	0.998725	59.2	255	0.64889	Georgia	2013		PRJEB39561	SAMEA115879602	ILLUMINA
ERR13430443	L4.13.2	896	1	19	99.0221	0.9986799999999999	59.2	255	0.649142	Georgia	2013		PRJEB39561	SAMEA115879602	ILLUMINA
ERR15576967	L4.13.2	880	1	18	91.4385	0.9986400000000001	59.2	255	0.64704	Georgia	2013		PRJEB39561	SAMEA117703343	ILLUMINA
ERR15576968	L4.13.2	884	1	18	94.6856	0.998613	59.2	255	0.647084	Georgia	2013		PRJEB39561	SAMEA117703343	ILLUMINA
ERR2041707	L4.13.2	829	1	20	44.6117	0.997024	58.9	255	0.649905				PRJEB21809	SAMEA104172488	ILLUMINA
ERR2041708	L4.13.2	856	2	22	50.1417	0.997614	58.9	255	0.653808				PRJEB21809	SAMEA104172488	ILLUMINA
ERR2446246	L4.13.2	828	1	20	40.1903	0.997956	59	255	0.655	Netherlands	2016	Homo sapiens	PRJEB25592	SAMEA104718597	ILLUMINA
ERR2446487	L4.13.2	857	3	25	57.9015	0.997951	59	255	0.655	Netherlands	2016	Homo sapiens	PRJEB25592	SAMEA104718838	ILLUMINA
ERR2510830	L4.13.2	805	2	14	42.1021	0.997798	59.1	255	0.63976				PRJEB25972	SAMEA1103104	ILLUMINA
ERR2512852	L4.13.2	885	15	27	87.314	0.9968290000000001	59.3	255	0.648886				PRJEB25991	SAMEA1118033	ILLUMINA
ERR2513713	L4.13.2	829	8	19	36.0252	0.991774	59.3	255	0.649339				PRJEB25991	SAMEA1118894	ILLUMINA
ERR2514076	L4.13.2	843	0	0									PRJEB25991	SAMEA1119257	ILLUMINA
ERR2514189	L4.13.2	879	1	25	118.251	0.9986400000000001	59.2	255	0.642546				PRJEB25991	SAMEA1119370	ILLUMINA
ERR2516176	L4.13.2	863	2	18	225.892	0.998112	59.3	255	0.651283				PRJEB25999	SAMEA3357583	ILLUMINA
ERR2516228	L4.13.2	858	2	19	101.411	0.997685	59.2	255	0.647155				PRJEB25999	SAMEA3360010	ILLUMINA
ERR2516561	L4.13.2	824	20	18	47.3997	0.98379	59.3	255	0.646369				PRJEB26000	SAMEA3402932	ILLUMINA
ERR2517277	L4.13.2	863	15	24	150.099	0.9971720000000001	59.2	255	0.646804				PRJEB26002	SAMEA3446543	ILLUMINA
ERR2517392	L4.13.2	876	2	23	139.089	0.998788	59.2	255	0.645497				PRJEB26002	SAMEA3447647	ILLUMINA
ERR2517428	L4.13.2	852	1	19	60.8341	0.998236	59.2	255	0.652575				PRJEB26002	SAMEA3448729	ILLUMINA
ERR2517447	L4.13.2	859	16	24	116.633	0.996997	59.2	255	0.6467				PRJEB26002	SAMEA3448754	ILLUMINA
ERR2517519	L4.13.2	892	4	27	175.11	0.998394	59.2	255	0.645325				PRJEB26002	SAMEA3449885	ILLUMINA
ERR257886	L4.13.2	744	7	14	22.5873	0.990679	59.2	255	0.632479	Netherlands	2000-03	Homo sapiens	PRJEB2057	SAMEA1706673	ILLUMINA
ERR2677415	L4.13.2	871	6	24	74.9413	0.996152	59.3	255	0.650754				PRJEB27354	SAMEA4772809	ILLUMINA
ERR2851357	L4.13.2	830	9	18	49.1192	0.992865	59.4	255	0.64804	Lebanon	2016	Homo sapiens	PRJEB29276	SAMEA5039577	ILLUMINA
ERR3275345	L4.13.2	849	15	20	73.1391	0.997013	59	255	0.655				PRJEB32037	SAMEA5561572	ILLUMINA
ERR3275506	L4.13.2	828	1	20	40.1901	0.997943	59	255	0.655				PRJEB32037	SAMEA5561734	ILLUMINA
ERR3275665	L4.13.2	835	15	24	56.0621	0.996729	59	255	0.655				PRJEB32037	SAMEA5561893	ILLUMINA
ERR3275682	L4.13.2	857	3	25	57.9015	0.997951	59	255	0.655				PRJEB32037	SAMEA5561910	ILLUMINA
ERR3275771	L4.13.2	850	1	18	57.2675	0.998732	59	255	0.655				PRJEB32037	SAMEA5561999	ILLUMINA
ERR3275960	L4.13.2	857	8	19	75.3073	0.995625	59	255	0.655				PRJEB32037	SAMEA5562188	ILLUMINA
ERR3335734	L4.13.2	918	1	27	171.902	0.9996259999999999	59.2	255	0.656315				PRJEB32684	SAMEA5626255	ILLUMINA
ERR3335747	L4.13.2	922	0	0									PRJEB32684	SAMEA5626268	ILLUMINA
ERR3802174	L4.13.2	837	6	19	48.9166	0.991546	59.3	255	0.655	Sweden	1999	Homo sapiens	PRJEB36121	SAMEA6461876	ION_TORRENT
ERR3802175	L4.13.2	830	2	17	27.5797	0.99748	59.3	255	0.655	Sweden	1999	Homo sapiens	PRJEB36121	SAMEA6461882	ION_TORRENT
ERR400315	L4.13.2	881	1	23	79.1564	0.999095	59.3	255	0.661043				PRJEB5162	SAMEA2297139	ILLUMINA
ERR4553627	L4.13.2	832	2	20	46.67	0.995247	59.5	255	0.657943	Bangladesh	2008		PRJEB39569	SAMEA7280369	ILLUMINA
ERR4814339	L4.13.2	869	4	21	105.581	0.9975620000000001	59.3	255	0.651805				PRJEB41201	SAMEA7547698	ILLUMINA
ERR4814614	L4.13.2	843	2	18	67.7338	0.997504	59.3	255	0.652587				PRJEB41201	SAMEA7547973	ILLUMINA
ERR4816053	L4.13.2	845	2	21	71.2373	0.9975029999999999	59.3	255	0.649075				PRJEB41201	SAMEA7549414	ILLUMINA
ERR4816452	L4.13.2	852	3	21	110.308	0.9972270000000001	59.3	255	0.645189				PRJEB41201	SAMEA7549813	ILLUMINA
ERR4816721	L4.13.2	846	4	22	80.2695	0.997641	59.4	255	0.65091				PRJEB41201	SAMEA7550083	ILLUMINA
ERR4818274	L4.13.2	830	4	15	35.5028	0.996747	59.4	255	0.617943				PRJEB41201	SAMEA7551638	ILLUMINA
ERR4819906	L4.13.2	869	3	21	114.546	0.9985689999999999	59.3	255	0.658118				PRJEB41201	SAMEA7553272	ILLUMINA
ERR4820961	L4.13.2	866	5	17	89.844	0.997409	59.3	255	0.647596				PRJEB41201	SAMEA7554328	ILLUMINA
ERR4820970	L4.13.2	866	1	18	65.334	0.998631	59.2	255	0.657691				PRJEB41201	SAMEA7554337	ILLUMINA
ERR4820974	L4.13.2	818	19	25	60.8112	0.992282	59.4	255	0.646679				PRJEB41201	SAMEA7554341	ILLUMINA
ERR4821805	L4.13.2	871	4	21	104.971	0.9976210000000001	59.3	255	0.652076				PRJEB41201	SAMEA7555174	ILLUMINA
ERR4830896	L4.13.2	886	1	23	151.741	0.9987170000000001	59.3	255	0.645583				PRJEB41272	SAMEA7563336	ILLUMINA
ERR550924	L4.13.2	846	1	8	92.4078	0.998835	59.1	255	0.650059				PRJEB9680	SAMEA2533565	ILLUMINA
ERR551347	L4.13.2	910	3	22	192.279	0.996812	59.5	255	0.649407				PRJEB6273	SAMEA2533874	ILLUMINA
ERR551574	L4.13.2	853	6	22	190.051	0.997256	59.3	255	0.647418				PRJEB9680	SAMEA2534038	ILLUMINA
ERR551657	L4.13.2	852	1	21	111.645	0.998806	59.2	255	0.653504				PRJEB9680	SAMEA2534096	ILLUMINA
ERR551734	L4.13.2	822	1	15	55.9751	0.998437	59.2	255	0.649462				PRJEB6273	SAMEA2534155	ILLUMINA
ERR552272	L4.13.2	902	2	20	188.169	0.9986929999999999	59.2	255	0.648917				PRJEB9680	SAMEA2534532	ILLUMINA
ERR553174	L4.13.2	847	1	8	95.3494	0.998944	59.2	255	0.648114				PRJEB9680	SAMEA2535192	ILLUMINA
ERR553220	L4.13.2	853	15	23	147.184	0.993177	59.5	255	0.650187				PRJEB6273	SAMEA2535220	ILLUMINA
