strain_id,country,region
L4.13.2 ERR553346,Unknown,Unknown
L4.13.2 ERR553390,Unknown,Unknown
L4.13.2 ERR7801809,Tanzania,Sub-Saharan Africa
L4.13.2 ERR8773521,Switzerland,Western Europe
L4.13.2 ERR8773523,Switzerland,Western Europe
L4.13.2 ERR8773542,Switzerland,Western Europe
L4.13.2 ERR8773857,Georgia,Caucasus
L4.13.2 ERR8773963,Georgia,Caucasus
L4.13.2 ERR8775758,Switzerland,Western Europe
L4.13.2 ERR8958140,Switzerland,Western Europe
L4.13.2 SRR16088141,Georgia,Caucasus
L4.13.2 SRR16088242,Georgia,Caucasus
L4.13.2 SRR16088455,Georgia,Caucasus
L4.13.2 SRR16100228,USA,North America
L4.13.2 SRR16115019,USA,North America
L4.13.2 SRR16149167,Bulgaria,Eastern Europe
L4.13.2 SRR18067127,Spain,Western Europe
L4.13.2 SRR18714986,Georgia,Caucasus
L4.13.2 SRR19303962,Italy,Western Europe
L4.13.2 SRR19324806,USA,North America
L4.13.2 SRR2100564,missing,Unknown
L4.13.2 SRR21675839,USA,North America
L4.13.2 SRR21689570,Netherlands,Western Europe
L4.13.2 SRR21689746,Netherlands,Western Europe
L4.13.2 SRR21690144,Netherlands,Western Europe
L4.13.2 SRR21690182,Netherlands,Western Europe
L4.13.2 SRR21690714,Netherlands,Western Europe
L4.13.2 SRR21690784,Netherlands,Western Europe
L4.13.2 SRR21732683,Australia,Oceania
L4.13.2 SRR24222969,Israel,Middle East
L4.13.2 SRR28240124,Georgia,Caucasus
L4.13.2 SRR28860020,USA,North America
L4.13.2 SRR29017048,Bangladesh,South Asia
L4.13.2 SRR29052739,USA,North America
L4.13.2 SRR29055771,USA,North America
L4.13.2 SRR29126634,Italy,Western Europe
L4.13.2 SRR29274230,Bulgaria,Eastern Europe
L4.13.2 SRR29274248,Bulgaria,Eastern Europe
L4.13.2 SRR29274280,Bulgaria,Eastern Europe
L4.13.2 SRR29356798,Israel,Middle East
L4.13.2 SRR30679867,Australia,Oceania
L4.13.2 SRR33445613,Kosovo,Eastern Europe
L4.13.2 SRR33445629,Kosovo,Eastern Europe
L4.13.2 SRR33445654,Kosovo,Eastern Europe
L4.13.2 SRR33605180,USA,North America
L4.13.2 SRR33657636,USA,North America
L4.13.2 SRR33713040,USA,North America
L4.13.2 SRR33792933,USA,North America
L4.13.2 SRR33818442,USA,North America
L4.13.2 SRR33842973,USA,North America
L4.13.2 SRR33891348,USA,North America
L4.13.2 SRR33893499,USA,North America
L4.13.2 SRR33894822,USA,North America
L4.13.2 SRR33912389,USA,North America
L4.13.2 SRR33953301,USA,North America
L4.13.2 SRR5486877,Romania,Eastern Europe
L4.13.2 SRR7069574,United Kingdom,Western Europe
L4.13.2 SRR7341695,Romania,Eastern Europe
L4.4.2 SRR22251819,Unknown,Unknown
L4.4.2 SRR15723013,Unknown,Unknown
L4.4.2 SRR15316412,Unknown,Unknown
L4.4.2 SRR15723083,Unknown,Unknown
L4.4.2 SRR15315804,Unknown,Unknown
L4.2.1 SRR14781935,Unknown,Unknown
L4.2.1 ERR5864402,Unknown,Unknown
L4.2.1 ERR234572,Unknown,Unknown
L4.2.1 ERR10762358,Unknown,Unknown
L4.2.1 ERR8773699,Unknown,Unknown
