strain_name,sub_lineage_dir,n_spdis,moi,Ates,Coll,Coll L1,Coscolla,Freschi,Gisch,Lipworth,Merker,Napier,Netikul,Palittapongarnpim,Shitikov,Shitikov23,Shuaib,Stucki,Thawornwattana,Zwyer
SRR33840371,L4.13.1,880,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33843028,L4.13.1,851,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33857524,L4.13.1,868,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33912642,L4.13.1,867,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33938718,L4.13.1,810,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR34003993,L4.13.1,847,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR3675213,L4.13.1,759,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR6831923,L4.13.1,819,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR7131174,L4.13.1,846,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR046997,L4.13.2,805,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR072039,L4.13.2,806,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR1023298,L4.13.2,890,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR1023334,L4.13.2,886,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR1034655,L4.13.2,838,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR1034661,L4.13.2,805,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043057,L4.13.2,906,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043060,L4.13.2,880,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043114,L4.13.2,867,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043115,L4.13.2,877,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043177,L4.13.2,852,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043607,L4.13.2,871,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043647,L4.13.2,893,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043655,L4.13.2,851,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043766,L4.13.2,868,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043794,L4.13.2,904,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043908,L4.13.2,867,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043910,L4.13.2,868,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11043911,L4.13.2,865,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044050,L4.13.2,897,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044068,L4.13.2,902,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044122,L4.13.2,914,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044225,L4.13.2,871,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044330,L4.13.2,878,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044385,L4.13.2,869,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044386,L4.13.2,876,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044401,L4.13.2,882,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044481,L4.13.2,899,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044528,L4.13.2,898,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044592,L4.13.2,899,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044620,L4.13.2,837,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044756,L4.13.2,891,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044956,L4.13.2,901,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11044962,L4.13.2,869,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049087,L4.13.2,869,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049497,L4.13.2,850,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049552,L4.13.2,905,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049626,L4.13.2,883,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049714,L4.13.2,901,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049724,L4.13.2,877,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049737,L4.13.2,877,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049857,L4.13.2,859,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11050069,L4.13.2,881,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11050086,L4.13.2,836,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11050283,L4.13.2,876,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11050810,L4.13.2,879,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067219,L4.13.2,871,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067411,L4.13.2,932,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067434,L4.13.2,883,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067520,L4.13.2,888,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067530,L4.13.2,882,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067727,L4.13.2,866,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067810,L4.13.2,866,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067830,L4.13.2,883,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068047,L4.13.2,891,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068203,L4.13.2,868,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068570,L4.13.2,896,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068646,L4.13.2,874,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068759,L4.13.2,874,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068773,L4.13.2,794,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068935,L4.13.2,872,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11080999,L4.13.2,880,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11081333,L4.13.2,877,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11081496,L4.13.2,877,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11081499,L4.13.2,898,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11082010,L4.13.2,859,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11082143,L4.13.2,905,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11082290,L4.13.2,843,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11082732,L4.13.2,865,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11082879,L4.13.2,895,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11082948,L4.13.2,906,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11083139,L4.13.2,880,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11244305,L4.13.2,857,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11244357,L4.13.2,863,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11246140,L4.13.2,844,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11811369,L4.13.2,908,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11811388,L4.13.2,790,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13267597,L4.13.2,875,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13272907,L4.13.2,853,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13273053,L4.13.2,843,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13283989,L4.13.2,904,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13291785,L4.13.2,876,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13292200,L4.13.2,818,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13430442,L4.13.2,893,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13430443,L4.13.2,896,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR15576967,L4.13.2,880,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR15576968,L4.13.2,884,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2041707,L4.13.2,829,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2041708,L4.13.2,856,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2446246,L4.13.2,828,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2446487,L4.13.2,857,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2510830,L4.13.2,805,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2512852,L4.13.2,885,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2513713,L4.13.2,829,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2514076,L4.13.2,843,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2514189,L4.13.2,879,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2516176,L4.13.2,863,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2516228,L4.13.2,858,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2516561,L4.13.2,824,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2517277,L4.13.2,863,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2517392,L4.13.2,876,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2517428,L4.13.2,852,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2517447,L4.13.2,859,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2517519,L4.13.2,892,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR257886,L4.13.2,744,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2677415,L4.13.2,871,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2851357,L4.13.2,830,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3275345,L4.13.2,849,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3275506,L4.13.2,828,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3275665,L4.13.2,835,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3275682,L4.13.2,857,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3275771,L4.13.2,850,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3275960,L4.13.2,857,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3335734,L4.13.2,918,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3335747,L4.13.2,922,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3802174,L4.13.2,837,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR3802175,L4.13.2,830,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR400315,L4.13.2,881,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4553627,L4.13.2,832,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4814339,L4.13.2,869,4.13.2,,4,,,4.13,,DassieSuricattae.A (1/2),,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4814614,L4.13.2,843,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4816053,L4.13.2,845,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4816452,L4.13.2,852,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4816721,L4.13.2,846,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4818274,L4.13.2,830,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4819906,L4.13.2,869,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4820961,L4.13.2,866,4.13.2,,4,,,4.13,,DassieSuricattae.A (1/2),,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4820970,L4.13.2,866,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4820974,L4.13.2,818,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4821805,L4.13.2,871,4.13.2,,4,,,4.13,,DassieSuricattae.A (1/2),,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4830896,L4.13.2,886,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR550924,L4.13.2,846,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR551347,L4.13.2,910,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR551574,L4.13.2,853,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR551657,L4.13.2,852,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR551734,L4.13.2,822,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR552272,L4.13.2,902,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR553174,L4.13.2,847,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR553220,L4.13.2,853,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR553346,L4.13.2,861,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR553390,L4.13.2,853,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR7801809,L4.13.2,872,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR8773521,L4.13.2,878,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR8773523,L4.13.2,874,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR8773542,L4.13.2,826,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR8773857,L4.13.2,908,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR8773963,L4.13.2,863,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR8775758,L4.13.2,771,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR8958140,L4.13.2,769,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR16088141,L4.13.2,896,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR16088242,L4.13.2,902,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR16088455,L4.13.2,894,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR16100228,L4.13.2,876,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR16115019,L4.13.2,818,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR16149167,L4.13.2,887,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR18067127,L4.13.2,855,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
